sample_id,climate_scenario,length,width,wall_height,roof_angle,orientation_deg,insulation_thickness_mm,window_ratio,pcm_thickness_mm,wall_material,roof_material,floor_material,insulation_material,glazing_type,pcm_present,T_amb_mean,T_amb_min,T_amb_max,solar_radiation_mean,wind_speed_mean,indoor_temp_mean,indoor_temp_min,indoor_temp_max,indoor_temp_swing,comfort_hours,total_heat_loss_kWh,total_solar_gain_kWh,ventilation_loss_kWh,heating_energy_required_kWh,fidelity_tier,simulation_time_sec,ansys_validation_candidate
winter_0,winter,4.687100732524067,5.945611215602479,2.9286127423470507,38.2953947956411,32.943493591267405,139.01218882418164,0.2194453370143446,0.0,brick,timber,brick,xps_foam,single_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.850915500540232,18.0,21.63744451313152,3.63744451313152,24,77.8800353446471,36.926105486810506,11.910912092842699,52.864841950679285,tier1_rc_physics,0.007229804992675781,True
winter_1,winter,3.447864772788741,3.3654961406210444,2.9697265418949925,5.56098525167271,117.21368092795159,114.08861919336458,0.2886493501013681,0.0,sandwich_panel,concrete,concrete,mineral_wool,double_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.183327353122234,18.0,19.26579391765039,1.2657939176503916,24,32.46584389316782,10.158938786941961,5.723381296440201,28.03028640266606,tier1_rc_physics,0.0005552768707275391,False
winter_2,winter,3.1074235868830695,5.229361827438958,2.5820802649213657,39.055250340131686,178.94514735594876,79.32273701593508,0.10020085230487262,12.351146479779635,timber,timber,brick,eps_foam,double_pane,1,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.0,18.0,18.0,0.0,24,25.89483316679082,6.284210864183275,4.253399235701641,23.86402153830917,tier1_rc_physics,0.008686542510986328,False
winter_3,winter,4.703693608382104,4.1580536129214805,3.2596442089838495,34.04342943513191,133.70742630475948,62.658475523378776,0.16113111081810755,0.0,cseb,brick,cseb,rock_wool,double_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.0,18.0,18.0,0.0,24,49.424970299543055,10.931562455185404,7.774447794422819,46.26785563878046,tier1_rc_physics,0.000431060791015625,False
winter_4,winter,3.1279029106976974,5.356295402939651,3.012631924817805,27.87157929613736,86.32204709679873,5.762147536887033,0.23990193909277402,5.055031000886248,cseb,cseb,brick,eps_foam,single_pane,1,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.0,18.0,18.0,0.0,24,113.26486969983986,13.931292590608333,7.497648466600224,106.83122557583175,tier1_rc_physics,0.00041556358337402344,False
winter_5,winter,7.592714134685462,3.521673218039422,3.3582988512246565,38.05314500379269,119.50064411916289,118.5976178212516,0.20471460855779816,0.0,cseb,sandwich_panel,cseb,xps_foam,double_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.02633805870801,18.0,18.21341700325669,0.21341700325669066,24,52.59057742404483,16.017735037555976,12.283665725170861,48.856508111659714,tier1_rc_physics,0.0004115104675292969,True
winter_6,winter,5.188625074933751,5.958602475163907,3.204467064455941,25.048895659537347,135.72784537349872,26.667574571703984,0.09584397372493594,0.0,timber,concrete,concrete,rock_wool,single_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.0,18.0,18.0,0.0,24,83.18344995848867,11.314338278560507,9.897387669727644,81.76649934965579,tier1_rc_physics,0.00038170814514160156,False
winter_7,winter,7.775684737074361,3.214312588040471,3.2913942130081137,29.082820488969606,4.3989582229257165,132.76445189692842,0.10884055787577196,12.705833523763996,sandwich_panel,timber,concrete,xps_foam,single_pane,1,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.782386958827015,18.0,20.519996539544728,2.519996539544728,24,50.85369717436638,26.847348677916102,8.818913807281389,31.11641856503333,tier1_rc_physics,0.00036597251892089844,False
winter_8,winter,6.50608802799999,4.91446420599342,2.80424343563677,12.704407485290607,80.38150929925924,10.781641305383818,0.05441631788171055,0.0,cseb,brick,cseb,mineral_wool,double_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.0,18.0,18.0,0.0,24,107.11588675212558,8.144020565933738,7.703039506737802,106.67490569292964,tier1_rc_physics,0.00035762786865234375,False
winter_9,winter,3.3357766154455306,4.4176606051413465,3.3090806881193475,5.957792416196701,64.02384374533999,17.66904174263655,0.19285012915560185,0.0,timber,cseb,concrete,rock_wool,single_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.002124752323667,18.0,18.026360544211144,0.026360544211144088,24,68.82986140438932,15.636648701987234,6.469368035950387,59.662580738352474,tier1_rc_physics,0.0003447532653808594,False
winter_10,winter,7.555594774327877,4.595936131385599,2.668805911666447,1.0249540620138444,56.986372756119685,32.95497606961218,0.3314905807576375,33.423020461624766,timber,brick,brick,eps_foam,double_pane,1,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.244010983572462,18.0,19.131121265153222,1.1311212651532223,24,85.67443191160352,30.20538500479311,16.77756326135844,71.38123583264266,tier1_rc_physics,0.000339508056640625,False
winter_11,winter,6.947312137016107,3.2849895522489665,2.5546733142215765,20.74555194373834,54.932306234655584,138.30948938695175,0.3541482358959942,0.0,cseb,cseb,cseb,rock_wool,single_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.427318953568268,18.0,20.330102010426494,2.3301020104264936,24,92.29680463377689,32.77645780338267,11.076316092466167,70.59666292286043,tier1_rc_physics,0.00034165382385253906,False
winter_12,winter,7.477303123157443,5.779123500806839,2.663155307757478,28.80571535031757,143.45485158557545,102.65014643309462,0.1255231517116306,0.0,timber,timber,concrete,xps_foam,double_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.0,18.0,18.0,0.0,24,51.539709296132635,11.36185370033106,12.650004420735732,52.827860016537294,tier1_rc_physics,0.0003273487091064453,False
winter_13,winter,7.003687484933903,4.582831098108411,3.0517194334907103,6.859163765723227,22.7421654227079,127.54869880172808,0.1661349276618608,0.0,sandwich_panel,sandwich_panel,brick,rock_wool,single_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,19.6090281818528,18.0,25.062165899697487,7.0621658996974865,24,71.03023645157613,34.7082778702437,12.806127915997054,49.128086497329484,tier1_rc_physics,0.0002951622009277344,False
winter_14,winter,5.528234056264155,3.514207804310581,2.333567317940597,8.721507857386143,58.94488828209887,93.14026852202453,0.3026625581202624,0.0,timber,brick,cseb,eps_foam,double_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.472038156167333,18.0,20.34796173840501,2.3479617384050115,24,42.505315596794226,17.427650592658917,7.824860371346576,32.9025253754819,tier1_rc_physics,0.0002989768981933594,False
winter_15,winter,5.690265033851454,5.043501533984452,2.654634074608394,39.68762888967441,142.77503149568287,11.25300459037774,0.25378182858561177,0.0,brick,timber,brick,xps_foam,double_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.0,18.0,18.0,0.0,24,89.8777949017507,14.223576320749745,11.674055583323154,87.3282741643241,tier1_rc_physics,0.00030231475830078125,False
winter_16,winter,4.514943283871291,3.454123554278223,2.225260763803007,11.111231982243481,62.65136331617976,27.326565097732583,0.31414393192660506,41.32953268816171,cseb,cseb,brick,mineral_wool,single_pane,1,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.004198292661595,18.0,18.0578524108735,0.057852410873501015,24,72.82775029352955,16.542334265435414,6.025959996739274,62.31137602483342,tier1_rc_physics,0.0003147125244140625,False
winter_17,winter,7.984024013112642,4.345176965630571,2.517274814015249,18.587590500011636,88.50800500149711,61.25464650282274,0.21107253580252922,0.0,brick,cseb,cseb,mineral_wool,single_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.0,18.0,18.0,0.0,24,95.25958346347021,16.020719259255248,12.122263917143128,91.36112812135805,tier1_rc_physics,0.0003266334533691406,False
winter_18,winter,6.408775176649051,5.437330243369081,2.8572298676781824,26.32189913962927,129.936653123817,139.98919396005982,0.24970265942177328,0.0,brick,timber,brick,mineral_wool,double_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.002031791257075,18.0,18.02667353855694,0.026673538556938325,24,61.739343010945674,16.737348744570482,15.120572578861017,60.1225668452362,tier1_rc_physics,0.0003058910369873047,False
winter_19,winter,7.23099584851669,3.0744596385646097,3.07486283845508,19.54916398604403,150.4312597296966,19.67028868265405,0.323318506283332,0.0,cseb,timber,concrete,mineral_wool,single_pane,0,-10.0,-18.0,-2.0,144.69013887796973,3.5,18.0,18.0,18.0,0.0,24,125.69156310067171,21.17247255614414,12.079920837686887,116.59901138221446,tier1_rc_physics,0.0003077983856201172,False
winter_20,winter,4.581537650900735,4.300839881548624,2.914002406039456,16.494388116573575,12.86708851836511,59.81453885806879,0.21353191196634552,6.19862475465595,sandwich_panel,concrete,concrete,xps_foam,double_pane,1,-10.0,-18.0,-2.0,144.69013887796973,3.5,19.71406543376577,18.0,23.95756909436182,5.957569094361819,24,42.35267266589078,27.5047563639869,8.50888889298834,23.551878435715217,tier1_rc_physics,0.00034546852111816406,False
